iter	Passed	Remaining
176	4669	21713
177	4688	21653
178	4706	21589
179	4725	21529
180	4746	21476
181	4766	21421
182	4801	21436
183	4822	21386
184	4840	21326
185	4857	21258
186	4877	21204
187	4896	21147
188	4913	21084
189	4932	21029
190	4952	20975
191	4969	20912
192	4988	20857
193	5008	20808
194	5026	20752
195	5045	20697
196	5067	20654
197	5088	20609
198	5110	20569
199	5138	20552
200	5164	20529
201	5188	20498
202	5215	20477
203	5245	20466
204	5294	20531
205	5333	20558
206	5359	20531
207	5505	20962
208	5567	21072
209	5601	21072
210	5626	21039
211	5650	21003
212	5673	20962
213	5697	20925
214	5721	20890
215	5747	20861
216	5770	20820
217	5797	20796
218	5820	20755
219	5843	20718
220	5864	20671
221	5886	20627
222	5906	20579
223	5919	20507
224	5933	20437
225	5946	20364
226	5958	20290
227	5978	20242
228	6003	20211
229	6027	20179
230	6049	20139
231	6074	20109
232	6095	20066
233	6116	20022
234	6137	19980
235	6159	19939
236	6179	19895
237	6200	19853
238	6223	19815
239	6244	19773
240	6265	19731
241	6283	19682
242	6304	19638
243	6323	19593
244	6342	19545
245	6360	19494
246	6379	19449
247	6400	19408
248	6422	19370
249	6434	19302
250	6447	19239
251	6459	19173
252	6475	19118
253	6499	19088
254	6524	19061
255	6557	19058
256	6589	19050
257	6624	19052
258	6656	19043
259	6692	19048
260	6721	19031
261	6754	19026
262	6781	19003
263	6807	18978
264	6834	18956
265	6856	18919
266	6879	18887
267	6903	18855
268	6929	18830
269	6953	18801
270	6978	18772
271	6995	18723
272	7009	18666
273	7023	18610
274	7051	18591
275	7075	18559
276	7100	18534
277	7125	18506
278	7152	18483
279	7180	18463
280	7202	18429
281	7225	18396
282	7249	18367
283	7273	18337
284	7297	18308
285	7317	18268
286	7337	18229
287	7359	18193
288	7378	18152
289	7396	18108
290	7414	18064
291	7436	18030
292	7456	17991
293	7474	17949
294	7492	17905
295	7510	17862
296	7529	17822
297	7550	17787
298	7570	17748
299	7589	17708
300	7602	17655
301	7614	17598
302	7626	17544
303	7640	17492
304	7655	17444
305	7681	17421
306	7708	17401
307	7735	17380
308	7759	17352
309	7789	17337
310	7813	17310
311	7845	17300
312	7871	17277
313	7891	17240
314	7911	17203
315	7935	17176
316	7957	17144
317	7978	17110
318	7999	17076
319	8022	17047
320	8066	17062
321	8092	17039
322	8123	17026
323	8152	17009
324	8176	16982
325	8202	16957
326	8223	16925
327	8239	16880
328	8254	16834
329	8268	16787
330	8292	16760
331	8323	16747
332	8391	16808
333	8431	16811
334	8469	16813
335	8496	16790
336	8518	16758
337	8548	16742
338	8572	16715
339	8595	16685
340	8617	16654
341	8640	16623
342	8662	16593
343	8684	16561
344	8705	16528
345	8728	16497
346	8745	16458
347	8764	16420
348	8783	16384
349	8802	16347
350	8823	16314
351	8841	16275
352	8859	16238
353	8878	16202
354	8898	16166
355	8917	16131
356	8936	16095
357	8955	16059
358	8973	16022
359	8996	15992
360	9017	15961
361	9040	15933
362	9061	15900
363	9080	15865
364	9100	15831
365	9125	15806
366	9145	15774
367	9165	15741
368	9184	15705
369	9203	15670
370	9222	15635
371	9243	15604
372	9269	15580
373	9294	15557
374	9315	15526
375	9339	15498
376	9360	15468
377	9383	15440
378	9406	15412
379	9427	15382
380	9449	15351
381	9470	15321
382	9509	15319
383	9552	15323
384	9587	15315
385	9617	15298
386	9643	15274
387	9670	15253
388	9700	15236
389	9726	15213
390	9752	15189
391	9783	15173
392	9813	15157
393	9843	15139
394	9868	15114
395	9895	15092
396	9912	15055
397	9927	15015
398	9951	14989
399	9986	14979
400	10025	14976
401	10072	14983
402	10106	14972
403	10144	14966
404	10176	14951
405	10201	14925
406	10225	14899
407	10247	14868
408	10268	14838
409	10291	14809
410	10313	14780
411	10337	14753
412	10359	14724
413	10380	14692
414	10399	14659
415	10418	14626
416	10437	14593
417	10456	14558
418	10475	14525
419	10495	14493
420	10519	14467
421	10541	14437
422	10565	14411
423	10591	14388
424	10613	14359
425	10634	14328
426	10655	14299
427	10675	14267
428	10693	14232
429	10713	14201
430	10736	14174
431	10754	14140
432	10771	14105
433	10792	14074
434	10810	14041
435	10828	14007
436	10847	13975
437	10864	13940
438	10880	13904
439	10898	13870
440	10915	13836
441	10933	13802
442	10950	13768
443	10967	13734
444	10984	13699
445	11000	13664
446	11017	13629
447	11034	13595
448	11051	13561
449	11069	13528
450	11086	13496
451	11102	13461
452	11118	13425
453	11135	13391
454	11152	13358
455	11168	13323
456	11184	13289
457	11201	13255
458	11218	13223
459	11235	13189
460	11250	13154
461	11267	13120
462	11283	13086
463	11300	13054
464	11316	13019
465	11332	12986
466	11348	12952
467	11366	12921
468	11385	12890
469	11408	12864
470	11427	12834
471	11448	12806
472	11469	12779
473	11497	12759
474	11522	12735
475	11548	12712
476	11573	12689
477	11595	12662
478	11618	12636
479	11642	12613
480	11666	12588
481	11691	12564
482	11713	12538
483	11736	12512
484	11760	12488
485	11789	12469
486	11814	12445
487	11838	12421
488	11858	12391
489	11880	12365
490	11902	12339
491	11925	12312
492	11943	12282
493	11967	12258
494	11988	12230
495	12010	12204
496	12033	12178
497	12055	12152
498	12075	12123
499	12095	12095
500	12120	12072
501	12141	12044
502	12163	12018
503	12187	11994
504	12209	11967
505	12232	11942
506	12255	11917
507	12276	11889
508	12299	11864
509	12322	11839
510	12348	11816
511	12375	11795
512	12389	11761
513	12402	11727
514	12416	11692
515	12442	11671
516	12476	11655
517	12516	11646
518	12547	11628
519	12588	11619
520	12617	11600
521	12644	11579
522	12679	11564
523	12706	11542
524	12732	11519
525	12754	11493
526	12777	11468
527	12797	11440
528	12829	11422
529	12849	11394
530	12869	11367
531	12891	11340
532	12913	11314
533	12933	11286
534	12953	11258
535	12974	11232
536	12997	11206
537	13017	11178
538	13037	11150
539	13055	11121
540	13074	11092
541	13092	11063
542	13109	11033
543	13127	11003
544	13146	10975
545	13166	10947
546	13184	10918
547	13200	10888
548	13217	10857
549	13233	10827
550	13249	10796
551	13265	10766
552	13281	10735
553	13296	10704
554	13315	10676
555	13331	10645
556	13347	10615
557	13364	10586
558	13380	10556
559	13396	10526
560	13412	10495
561	13428	10465
562	13443	10435
563	13459	10405
564	13477	10376
565	13495	10347
566	13510	10317
567	13525	10287
568	13540	10256
569	13555	10226
570	13569	10195
571	13585	10165
572	13601	10136
573	13619	10107
574	13635	10078
575	13653	10050
576	13669	10021
577	13686	9992
578	13706	9966
579	13729	9941
580	13750	9916
581	13773	9892
582	13825	9888
583	13866	9877
584	13892	9855
585	13918	9833
586	13956	9819
587	13993	9805
588	14028	9788
589	14053	9765
590	14081	9744
591	14106	9721
592	14142	9706
593	14170	9685
594	14203	9668
595	14233	9648
596	14265	9630
597	14290	9606
598	14322	9588
599	14354	9569
600	14379	9546
601	14406	9524
602	14441	9507
603	14473	9489
604	14502	9468
605	14540	9453
606	14581	9440
607	14611	9420
608	14644	9402
609	14684	9388
610	14717	9370
611	14739	9344
612	14761	9319
613	14786	9295
614	14809	9271
615	14835	9248
616	14862	9225
617	14888	9202
618	14913	9179
619	14935	9154
620	14957	9128
621	14980	9104
622	15000	9077
623	15024	9053
624	15053	9032
625	15081	9010
626	15111	8989
627	15148	8973
628	15185	8956
629	15220	8939
630	15270	8929
631	15305	8912
632	15351	8900
633	15376	8876
634	15398	8851
635	15422	8826
636	15451	8805
637	15481	8784
638	15503	8758
639	15597	8773
640	15686	8785
641	15866	8847
642	16051	8911
643	16104	8902
644	16179	8904
645	16261	8911
646	16352	8921
647	16429	8924
648	16478	8912
649	16560	8917
650	16691	8948
651	16774	8953
652	16860	8959
653	17019	9003
654	17089	9001
655	17152	8994
656	17250	9005
657	17296	8990
658	17331	8967
659	17357	8941
660	17388	8917
661	17420	8894
662	17451	8870
663	17485	8848
664	17534	8833
665	17601	8827
666	17655	8814
667	17720	8807
668	17765	8790
669	17806	8770
670	17858	8756
671	17914	8744
672	17992	8742
673	18031	8721
674	18061	8696
675	18091	8671
676	18121	8645
677	18154	8621
678	18187	8598
679	18218	8573
680	18249	8548
681	18279	8523
682	18307	8496
683	18339	8472
684	18367	8446
685	18394	8419
686	18523	8439
687	18671	8467
688	18731	8454
689	18782	8438
690	18811	8411
691	18841	8385
692	18872	8360
693	18902	8334
694	18932	8308
695	18963	8283
696	18999	8259
697	19043	8239
698	19087	8219
699	19206	8231
700	19277	8222
701	19321	8201
702	19346	8173
703	19374	8146
704	19424	8127
705	19459	8103
706	19494	8079
707	19524	8052
708	19554	8025
709	19583	7998
710	19609	7970
711	19640	7944
712	19669	7917
713	19696	7889
714	19726	7863
715	19769	7841
716	19804	7816
717	19834	7790
718	19868	7764
719	19900	7738
720	19932	7713
721	19970	7689
722	20046	7680
723	20081	7655
724	20116	7630
725	20149	7604
726	20185	7579
727	20218	7554
728	20256	7530
729	20296	7506
730	20346	7487
731	20380	7461
732	20446	7447
733	20484	7423
734	20528	7401
735	20574	7380
736	20596	7349
737	20620	7320
738	20660	7296
739	20681	7266
740	20702	7236
741	20765	7220
742	20847	7210
743	20880	7184
744	20926	7162
745	20943	7131
746	20962	7099
747	20978	7067
748	20993	7035
749	21008	7002
750	21023	6970
751	21038	6938
752	21052	6905
753	21067	6873
754	21083	6841
755	21099	6809
756	21114	6777
757	21129	6745
758	21143	6713
759	21160	6682
760	21175	6650
761	21191	6618
762	21206	6586
763	21220	6555
764	21236	6523
765	21248	6491
766	21261	6458
767	21275	6426
768	21288	6394
769	21302	6363
770	21318	6331
771	21332	6300
772	21346	6268
773	21363	6237
774	21382	6207
775	21402	6177
776	21420	6147
777	21436	6116
778	21453	6086
779	21467	6055
780	21479	6023
781	21490	5991
782	21503	5959
783	21518	5928
784	21530	5896
785	21541	5864
786	21553	5833
787	21567	5802
788	21581	5771
789	21594	5740
790	21607	5709
791	21620	5678
792	21635	5647
793	21650	5617
794	21665	5586
795	21681	5556
796	21698	5526
797	21714	5496
798	21731	5466
799	21745	5436
800	21760	5406
801	21774	5375
802	21788	5345
803	21803	5315
804	21818	5285
805	21832	5255
806	21847	5224
807	21861	5194
808	21874	5164
809	21885	5133
810	21897	5103
811	21911	5072
812	21926	5043
813	21938	5012
814	21950	4982
815	21962	4952
816	21974	4922
817	21985	4891
818	21998	4861
819	22009	4831
820	22021	4801
821	22033	4771
822	22045	4741
823	22059	4711
824	22073	4682
825	22089	4653
826	22101	4623
827	22116	4594
828	22130	4564
829	22145	4535
830	22160	4506
831	22174	4477
832	22187	4448
833	22201	4418
834	22216	4390
835	22229	4360
836	22242	4331
837	22256	4302
838	22270	4273
839	22285	4244
840	22299	4216
841	22313	4187
842	22327	4158
843	22341	4129
844	22355	4100
845	22369	4071
846	22383	4043
847	22397	4014
848	22411	3985
849	22424	3957
850	22436	3928
851	22450	3899
852	22463	3871
853	22476	3842
854	22491	3814
855	22505	3786
856	22520	3757
857	22533	3729
858	22545	3700
859	22561	3672
860	22574	3644
861	22587	3616
862	22599	3587
863	22613	3559
864	22626	3531
865	22642	3503
866	22656	3475
867	22676	3448
868	22690	3420
869	22707	3393
870	22734	3367
871	22766	3341
872	22782	3314
873	22796	3286
874	22813	3259
875	22830	3231
876	22846	3204
877	22864	3177
878	22880	3149
879	22894	3122
880	22907	3094
881	22919	3066
882	22932	3038
883	22947	3011
884	22963	2983
885	22977	2956
886	22990	2928
887	23003	2901
888	23015	2873
889	23028	2846
890	23041	2818
891	23052	2791
892	23065	2763
893	23076	2736
894	23089	2708
895	23101	2681
896	23112	2653
897	23124	2626
898	23136	2599
899	23147	2571
900	23158	2544
901	23170	2517
902	23187	2490
903	23203	2464
904	23218	2437
905	23230	2410
906	23242	2383
907	23254	2356
908	23268	2329
909	23283	2302
910	23298	2276
911	23310	2249
912	23324	2222
913	23340	2196
914	23361	2170
915	23395	2145
916	23409	2118
917	23424	2092
918	23448	2066
919	23465	2040
920	23478	2013
921	23494	1987
922	23509	1961
923	23524	1934
924	23539	1908
925	23555	1882
926	23569	1856
927	23582	1829
928	23596	1803
929	23611	1777
930	23625	1750
931	23640	1724
932	23655	1698
933	23669	1672
934	23681	1646
935	23695	1620
936	23710	1594
937	23725	1568
938	23738	1542
939	23753	1516
940	23766	1490
941	23781	1464
942	23794	1438
943	23807	1412
944	23822	1386
945	23837	1360
946	23852	1334
947	23865	1309
948	23880	1283
949	23894	1257
950	23920	1232
951	23938	1206
952	23955	1181
953	23970	1155
954	23987	1130
955	24004	1104
956	24023	1079
957	24056	1054
958	24073	1029
959	24088	1003
960	24115	978
961	24145	953
962	24160	928
963	24175	902
964	24191	877
965	24217	852
966	24238	827
967	24256	801
968	24275	776
969	24291	751
970	24309	726
971	24327	700
972	24346	675
973	24366	650
974	24385	625
975	24402	600
976	24421	574
977	24437	549
978	24455	524
979	24468	499
980	24526	475
981	24593	450
982	24610	425
983	24623	400
984	24637	375
985	24652	350
986	24666	324
987	24679	299
988	24693	274
989	24709	249
990	24722	224
991	24735	199
992	24750	174
993	24765	149
994	24779	124
995	24794	99
996	24809	74
997	24825	49
998	24838	24
999	24850	0
